Country,Year,Happiness
Finland,2011,7.579
Finland,2012,7.389
Finland,2014,7.406
Finland,2015,7.413
Finland,2016,7.469
Finland,2017,7.632
Finland,2018,7.769
Finland,2019,7.8087
Finland,2020,7.842
Finland,2021,7.821
Finland,2022,7.804
Finland,2023,7.741
Finland,2024,7.736
France,2011,6.746
France,2012,6.764
France,2014,6.575
France,2015,6.478
France,2016,6.442
France,2017,6.489
France,2018,6.592
France,2019,6.6638
France,2020,6.69
France,2021,6.687
France,2022,6.661
France,2023,6.609
France,2024,6.593
Germany,2011,6.572
Germany,2012,6.672
Germany,2014,6.75
Germany,2015,6.994
Germany,2016,6.951
Germany,2017,6.965
Germany,2018,6.985
Germany,2019,7.0758
Germany,2020,7.155
Germany,2021,7.034
Germany,2022,6.892
Germany,2023,6.719
Germany,2024,6.753
Ireland,2011,7.284
Ireland,2012,7.076
Ireland,2014,6.94
Ireland,2015,6.907
Ireland,2016,6.977
Ireland,2017,6.977
Ireland,2018,7.021
Ireland,2019,7.0937
Ireland,2020,7.085
Ireland,2021,7.041
Ireland,2022,6.911
Ireland,2023,6.838
Ireland,2024,6.889
Italy,2011,6.578
Italy,2012,6.021
Italy,2014,5.948
Italy,2015,5.977
Italy,2016,5.964
Italy,2017,6.0
Italy,2018,6.223
Italy,2019,6.3874
Italy,2020,6.483
Italy,2021,6.467
Italy,2022,6.405
Italy,2023,6.324
Italy,2024,6.415
Poland,2011,5.803
Poland,2012,5.822
Poland,2014,5.791
Poland,2015,5.835
Poland,2016,5.973
Poland,2017,6.123
Poland,2018,6.182
Poland,2019,6.1863
Poland,2020,6.166
Poland,2021,6.123
Poland,2022,6.26
Poland,2023,6.442
Poland,2024,6.673
Turkey,2011,5.234
Turkey,2012,5.345
Turkey,2014,5.332
Turkey,2015,5.389
Turkey,2016,5.5
Turkey,2017,5.483
Turkey,2018,5.373
Turkey,2019,5.1318
Turkey,2020,4.948
Turkey,2021,4.744
Turkey,2022,4.614
Turkey,2023,4.975
Turkey,2024,5.262
Ukraine,2011,5.089
Ukraine,2012,5.057
Ukraine,2014,4.681
Ukraine,2015,4.324
Ukraine,2016,4.096
Ukraine,2017,4.103
Ukraine,2018,4.332
Ukraine,2019,4.5607
Ukraine,2020,4.875
Ukraine,2021,5.084
Ukraine,2022,5.071
Ukraine,2023,4.873
Ukraine,2024,4.68
