Entity,Year,Happiness
Africa,2011,4.453846
Africa,2012,4.6184664
Africa,2014,4.476437
Africa,2015,4.397037
Africa,2016,4.460211
Africa,2017,4.4497566
Africa,2018,4.5171247
Africa,2019,4.463035
Africa,2020,4.553698
Africa,2021,4.5199776
Africa,2022,4.4281425
Africa,2023,4.386864
Africa,2024,4.3908195
Asia,2011,4.9826136
Asia,2012,5.0313606
Asia,2014,5.0074577
Asia,2015,4.981026
Asia,2016,4.9749722
Asia,2017,4.9183135
Asia,2018,4.8491173
Asia,2019,4.7312956
Asia,2020,4.843563
Asia,2021,4.8891344
Asia,2022,5.004606
Asia,2023,5.078239
Asia,2024,5.19059
Europe,2011,6.129434
Europe,2012,6.088927
Europe,2014,6.1009865
Europe,2015,6.1374583
Europe,2016,6.1653132
Europe,2017,6.1796846
Europe,2018,6.240796
Europe,2019,6.3019915
Europe,2020,6.3371444
Europe,2021,6.339463
Europe,2022,6.3574777
Europe,2023,6.344568
Europe,2024,6.3883176
Ireland,2011,7.284
Ireland,2012,7.076
Ireland,2014,6.94
Ireland,2015,6.907
Ireland,2016,6.977
Ireland,2017,6.977
Ireland,2018,7.021
Ireland,2019,7.0937
Ireland,2020,7.085
Ireland,2021,7.041
Ireland,2022,6.911
Ireland,2023,6.838
Ireland,2024,6.889
North America,2011,6.923756
North America,2012,6.9149694
North America,2014,6.9593606
North America,2015,6.860803
North America,2016,6.7441177
North America,2017,6.6716604
North America,2018,6.706144
North America,2019,6.71104
North America,2020,6.6686893
North America,2021,6.693723
North America,2022,6.678035
North America,2023,6.667866
North America,2024,6.7327533
Oceania,2011,7.349405
Oceania,2012,7.3291264
Oceania,2014,7.284322
Oceania,2015,7.3163924
Oceania,2016,7.28887
Oceania,2017,7.280471
Oceania,2018,7.2408967
Oceania,2019,7.235375
Oceania,2020,7.1984663
Oceania,2021,7.168248
Oceania,2022,7.0995855
Oceania,2023,7.05242
Oceania,2024,6.9704075
South America,2011,6.371586
South America,2012,6.605794
South America,2014,6.677415
South America,2015,6.6047792
South America,2016,6.3614483
South America,2017,6.1763296
South America,2018,6.069872
South America,2019,6.1198945
South America,2020,6.057704
South America,2021,5.983166
South America,2022,5.918053
South America,2023,6.080996
South America,2024,6.277881
World,2011,5.2613463
World,2012,5.319743
World,2014,5.283811
World,2015,5.2466707
World,2016,5.2268233
World,2017,5.1739993
World,2018,5.149798
World,2019,5.079008
World,2020,5.1641874
World,2021,5.180844
World,2022,5.223349
World,2023,5.2620683
World,2024,5.344676
